accessions	gene_id	gene	gene_description	alt_gene_description	all_GO_ids	BP_GO_ids	CC_GO_ids	MF_GO_ids
P51658;O08898	15486	Hsd17b2	Estradiol 17-beta-dehydrogenase 2	Testosterone 17-beta-dehydrogenase	GO:0016021;GO:0043231;GO:0044594;GO:0072582;GO:0004303;GO:0047035;GO:0006702;GO:0006703;GO:0001701;GO:0001890;GO:0032526	GO:0006702;GO:0006703;GO:0001701;GO:0001890;GO:0032526	GO:0016021;GO:0043231	GO:0044594;GO:0072582;GO:0004303;GO:0047035
Q8NBN7;Q6UX79;Q96G88	112724	RDH13	Retinol dehydrogenase 13	Short chain dehydrogenase/reductase family 7C member 3	GO:0005743;GO:0052650;GO:0042462;GO:0009644;GO:0010842;GO:0042574	GO:0042462;GO:0009644;GO:0010842;GO:0042574	GO:0005743	GO:0052650
Q66HG4	313843	Galm	Galactose mutarotase	Aldose 1-epimerase	GO:0005737;GO:0004034;GO:0030246;GO:0005975;GO:0033499;GO:0006012;GO:0006006	GO:0005975;GO:0033499;GO:0006012;GO:0006006	GO:0005737	GO:0004034;GO:0030246
Q4JIJ3	280869	MTR	Methionine synthase	Vitamin-B12 dependent methionine synthase	GO:0005737;GO:0031419;GO:0008705;GO:0008270;GO:0032259;GO:0042558	GO:0032259;GO:0042558	GO:0005737	GO:0031419;GO:0008705;GO:0008270
Q08DB5	510312	STX5	Syntaxin-5	Vitamin-B12 dependent methionine synthase	GO:0005829;GO:0012505;GO:0033116;GO:0000139;GO:0016021;GO:0031201;GO:0031982;GO:0047485;GO:0005484;GO:0000149;GO:0034498;GO:0006888;GO:0090166;GO:0006886;GO:0045732;GO:1903358;GO:0048278;GO:0006906	GO:0034498;GO:0006888;GO:0090166;GO:0006886;GO:0045732;GO:1903358;GO:0048278;GO:0006906	GO:0005829;GO:0012505;GO:0033116;GO:0000139;GO:0016021;GO:0031201;GO:0031982	GO:0047485;GO:0005484;GO:0000149
A2BDA5		dcaf15	DDB1- and CUL4-associated factor 15	Vitamin-B12 dependent methionine synthase	GO:0080008;GO:0046872;GO:0002376;GO:0000209;GO:0032814	GO:0002376;GO:0000209;GO:0032814	GO:0080008	GO:0046872
Q99NB1;Q8K0M6	68738	Acss1	Acetyl-coenzyme A synthetase 2-like mitochondrial	Propionate--CoA ligase	GO:0005759;GO:0005739;GO:0003987;GO:0016208;GO:0005524;GO:0050218;GO:0019413;GO:0006085;GO:0019427;GO:0019542	GO:0019413;GO:0006085;GO:0019427;GO:0019542	GO:0005759;GO:0005739	GO:0003987;GO:0016208;GO:0005524;GO:0050218
Q75VR0	107819477	TPC1B	Two pore calcium channel protein 1B	Voltage-dependent calcium channel protein TPC1B	GO:0016021;GO:0000325;GO:0005774;GO:0005509;GO:0005245;GO:0006816;GO:0006952;GO:0034765	GO:0006816;GO:0006952;GO:0034765	GO:0016021;GO:0000325;GO:0005774	GO:0005509;GO:0005245
Q4V8C3	362783	Eml1	Echinoderm microtubule-associated protein-like 1	Voltage-dependent calcium channel protein TPC1B	GO:0005829;GO:0005874;GO:0048471;GO:0008017;GO:0015631;GO:0007420;GO:0002244;GO:0000226;GO:0007052;GO:0007405	GO:0007420;GO:0002244;GO:0000226;GO:0007052;GO:0007405	GO:0005829;GO:0005874;GO:0048471	GO:0008017;GO:0015631
Q63ZM9	494773	znf830	Zinc finger protein 830	Coiled-coil domain-containing protein 16	GO:0005694;GO:0016607;GO:0005681;GO:0003676;GO:0008270;GO:0007049;GO:0051301	GO:0007049;GO:0051301	GO:0005694;GO:0016607;GO:0005681	GO:0003676;GO:0008270
Q9CXC3;A2ANA5;Q3TIC0;Q543Z8	74528	Mgme1	Mitochondrial genome maintenance exonuclease 1	Coiled-coil domain-containing protein 16	GO:0005739;GO:0008297;GO:0043504;GO:0006264;GO:0000002	GO:0043504;GO:0006264;GO:0000002	GO:0005739	GO:0008297
O93403		CHST3	Carbohydrate sulfotransferase 3	Nervous system involved sulfotransferase	GO:0000139;GO:0016021;GO:0008459;GO:0005975;GO:0030206	GO:0005975;GO:0030206	GO:0000139;GO:0016021	GO:0008459
Q58CV6;Q5EAB3	541138	KLHDC3	Kelch domain-containing protein 3	Nervous system involved sulfotransferase	GO:0031462;GO:0005737;GO:1990756;GO:0051321;GO:0043161	GO:0051321;GO:0043161	GO:0031462;GO:0005737	GO:1990756
P02637			Sarcoplasmic calcium-binding protein	Nervous system involved sulfotransferase	GO:0005509			GO:0005509
Q8CCG1;Q8CCM8	72350	Zc2hc1c	Zinc finger C2HC domain-containing protein 1C	Nervous system involved sulfotransferase	GO:0046872			GO:0046872
Q9UHC1;P49751;Q56DK9;Q9P292;Q9UHC0	27030	MLH3	DNA mismatch repair protein Mlh3	MutL protein homolog 3	GO:0005712;GO:0001673;GO:0032300;GO:0005654;GO:0005634;GO:0000795;GO:0005524;GO:0016887;GO:0019237;GO:0003682;GO:0030983;GO:0003696;GO:0007144;GO:0007140;GO:0006298;GO:0008104;GO:0007131;GO:0007130	GO:0007144;GO:0007140;GO:0006298;GO:0008104;GO:0007131;GO:0007130	GO:0005712;GO:0001673;GO:0032300;GO:0005654;GO:0005634;GO:0000795	GO:0005524;GO:0016887;GO:0019237;GO:0003682;GO:0030983;GO:0003696
Q9MYP6	282652	HSD17B14	17-beta-hydroxysteroid dehydrogenase 14	Retinal short-chain dehydrogenase/reductase retSDR3	GO:0005829;GO:0044594;GO:0004303;GO:0042802;GO:0047045;GO:0006706	GO:0006706	GO:0005829	GO:0044594;GO:0004303;GO:0042802;GO:0047045
P33527;A3RJX2;C9JPJ4;O14819;O43333;P78419;Q59GI9;Q9UQ97;Q9UQ99Q9UQA0	4363	ABCC1	Multidrug resistance-associated protein 1	Leukotriene C(4) transporter	GO:0016324;GO:0009925;GO:0016323;GO:0070062;GO:0005887;GO:0016328;GO:0016020;GO:0005886;GO:0015431;GO:0140359;GO:0015420;GO:0008559;GO:0005524;GO:0043225;GO:0034040;GO:0042626;GO:0046943;GO:0015562;GO:0034634;GO:0016787;GO:0042910;GO:1905039;GO:0060326;GO:1904646;GO:0034599;GO:0009235;GO:0140115;GO:0034775;GO:0042167;GO:0006691;GO:0071716;GO:0045332;GO:0050729;GO:0009410;GO:0099039;GO:0070633;GO:0055085;GO:0150104;GO:0042908;GO:1990962	GO:1905039;GO:0060326;GO:1904646;GO:0034599;GO:0009235;GO:0140115;GO:0034775;GO:0042167;GO:0006691;GO:0071716;GO:0045332;GO:0050729;GO:0009410;GO:0099039;GO:0070633;GO:0055085;GO:0150104;GO:0042908;GO:1990962	GO:0016324;GO:0009925;GO:0016323;GO:0070062;GO:0005887;GO:0016328;GO:0016020;GO:0005886	GO:0015431;GO:0140359;GO:0015420;GO:0008559;GO:0005524;GO:0043225;GO:0034040;GO:0042626;GO:0046943;GO:0015562;GO:0034634;GO:0016787;GO:0042910
O88563;O88270	140668	Abcc3	ATP-binding cassette sub-family C member 3	Multidrug resistance-associated protein 3	GO:0016323;GO:0005887;GO:0016020;GO:0005886;GO:0015432;GO:0015431;GO:0008559;GO:0005524;GO:0042626;GO:0015164;GO:0071714;GO:0042910;GO:0098656;GO:0015721;GO:0015722;GO:0071716;GO:0032355;GO:0032496;GO:0014070;GO:0010033;GO:0010243;GO:0055085;GO:0006855;GO:0042908	GO:0098656;GO:0015721;GO:0015722;GO:0071716;GO:0032355;GO:0032496;GO:0014070;GO:0010033;GO:0010243;GO:0055085;GO:0006855;GO:0042908	GO:0016323;GO:0005887;GO:0016020;GO:0005886	GO:0015432;GO:0015431;GO:0008559;GO:0005524;GO:0042626;GO:0015164;GO:0071714;GO:0042910
Q80TN7		Nav3	Neuron navigator 3	Pore membrane and/or filament-interacting-like protein 1	GO:0005635;GO:0005640;GO:0005634;GO:0005524;GO:0016887;GO:0008017;GO:0030336;GO:0032703;GO:0007026;GO:0007399;GO:0022008;GO:0031116	GO:0030336;GO:0032703;GO:0007026;GO:0007399;GO:0022008;GO:0031116	GO:0005635;GO:0005640;GO:0005634	GO:0005524;GO:0016887;GO:0008017
Q01112	2543027	cdc42	Cell division control protein 42 homolog	CDC42Sp	GO:0071521;GO:0005938;GO:0051285;GO:1902716;GO:0032153;GO:0051286;GO:0032154;GO:0090726;GO:0009898;GO:0005829;GO:0012505;GO:0070382;GO:0097575;GO:0043332;GO:0110085;GO:0005634;GO:0005886;GO:0031520;GO:0030427;GO:0005525;GO:0003924;GO:0043539;GO:0032488;GO:0051301;GO:0030031;GO:0006897;GO:0071963;GO:0101026;GO:1902917;GO:0032951;GO:0032955;GO:2000769;GO:0017157;GO:0033157;GO:0060627	GO:0032488;GO:0051301;GO:0030031;GO:0006897;GO:0071963;GO:0101026;GO:1902917;GO:0032951;GO:0032955;GO:2000769;GO:0017157;GO:0033157;GO:0060627	GO:0071521;GO:0005938;GO:0051285;GO:1902716;GO:0032153;GO:0051286;GO:0032154;GO:0090726;GO:0009898;GO:0005829;GO:0012505;GO:0070382;GO:0097575;GO:0043332;GO:0110085;GO:0005634;GO:0005886;GO:0031520;GO:0030427	GO:0005525;GO:0003924;GO:0043539
F1NZI4;A0A0H5AGM0;A0A0H5B0F3;A0A1D5PBV8	422991	PGGHG	Protein-glucosylgalactosylhydroxylysine glucosidase	Acid trehalase-like protein 1	GO:0005829;GO:0004553;GO:0047402;GO:0005975	GO:0005975	GO:0005829	GO:0004553;GO:0047402
Q68CQ4;O75992;Q4VY00;Q63HL9	27042	UTP25	U3 small nucleolar RNA-associated protein 25 homolog	UTP25 small subunit processor component	GO:0005730;GO:0005654;GO:0032040;GO:0003723;GO:0019843;GO:0034511;GO:0048568;GO:0000462;GO:0040019;GO:0030163;GO:0031648;GO:1902570	GO:0048568;GO:0000462;GO:0040019;GO:0030163;GO:0031648;GO:1902570	GO:0005730;GO:0005654;GO:0032040	GO:0003723;GO:0019843;GO:0034511
Q8C2Q3;Q3TJB6;Q91Z21;Q9DBI6	56275	Rbm14	RNA-binding protein 14	RNA-binding motif protein 14	GO:0005737;GO:0016607;GO:0005730;GO:0005634;GO:0005667;GO:0003729;GO:0030374;GO:0003723;GO:0002218;GO:0098534;GO:0016575;GO:0045087;GO:0000398;GO:0046600;GO:0045944;GO:0060395	GO:0002218;GO:0098534;GO:0016575;GO:0045087;GO:0000398;GO:0046600;GO:0045944;GO:0060395	GO:0005737;GO:0016607;GO:0005730;GO:0005634;GO:0005667	GO:0003729;GO:0030374;GO:0003723
P68081;P02162		MB	Myoglobin	RNA-binding motif protein 14	GO:0020037;GO:0046872;GO:0019825;GO:0005344			GO:0020037;GO:0046872;GO:0019825;GO:0005344
A2AVA0;Q8C720;Q8CBT2;Q922H0;Q9CUT3;Q9ES77	64817	Svep1	Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1	Polydom	GO:0005737;GO:0031012;GO:0005576;GO:0005615;GO:0016020;GO:0005634;GO:0005509;GO:0003682;GO:0016477;GO:0008544;GO:0090136;GO:0010467;GO:0003017;GO:0001945;GO:0036303;GO:0048014;GO:0120193	GO:0016477;GO:0008544;GO:0090136;GO:0010467;GO:0003017;GO:0001945;GO:0036303;GO:0048014;GO:0120193	GO:0005737;GO:0031012;GO:0005576;GO:0005615;GO:0016020;GO:0005634	GO:0005509;GO:0003682
A6QLH6	515247	SCYL1	N-terminal kinase-like protein	SCY1-like protein 1	GO:0005801;GO:0005793;GO:0005794;GO:0005815;GO:0005524;GO:0004672;GO:0006890	GO:0006890	GO:0005801;GO:0005793;GO:0005794;GO:0005815	GO:0005524;GO:0004672
O95861;A8K7C8;B4DPS5;B4DUS9;D3DTA9;Q8WVL5;Q9UGJ3	10380	BPNT1	3'(2')5'-bisphosphate nucleotidase 1	PAP-inositol 14-phosphatase	GO:0005829;GO:0008441;GO:0046872;GO:0050427;GO:0046855;GO:0007399;GO:0006139;GO:0046854	GO:0050427;GO:0046855;GO:0007399;GO:0006139;GO:0046854	GO:0005829	GO:0008441;GO:0046872
Q25011			FMRFamide-activated amiloride-sensitive sodium channel	FANACH	GO:0016021;GO:0005272		GO:0016021	GO:0005272
Q708S3	407667	asic4b	Acid-sensing ion channel 4-B	ZASIC4.2	GO:0005887;GO:0005261;GO:0015280;GO:0048545;GO:0035725	GO:0048545;GO:0035725	GO:0005887	GO:0005261;GO:0015280
P24329;Q5I0D4	25274	Tst	Thiosulfate sulfurtransferase	Rhodanese	GO:0005759;GO:0005739;GO:0008097;GO:0016783;GO:0004792;GO:0030855;GO:0016226;GO:0035928;GO:0051029;GO:0019346	GO:0030855;GO:0016226;GO:0035928;GO:0051029;GO:0019346	GO:0005759;GO:0005739	GO:0008097;GO:0016783;GO:0004792
Q9DBT3;Q922V3	52132	Ccdc97	Coiled-coil domain-containing protein 97	Rhodanese				
Q8BGF3	103784	Dnaaf10	Dynein axonemal assembly factor 10	WD repeat-containing protein Monad	GO:0120293;GO:1990062;GO:0043130;GO:0006915;GO:0070286	GO:0006915;GO:0070286	GO:0120293;GO:1990062	GO:0043130
Q96M32;Q8IYP6	122481	AK7	Adenylate kinase 7	ATP-AMP transphosphorylase 7	GO:0005737;GO:0005829;GO:0031514;GO:0004017;GO:0005524;GO:0004127;GO:0004550;GO:0030030;GO:0006165;GO:0009142	GO:0030030;GO:0006165;GO:0009142	GO:0005737;GO:0005829;GO:0031514	GO:0004017;GO:0005524;GO:0004127;GO:0004550
Q566R4	309170	Fam89b	Leucine repeat adapter protein 25	Mammary tumor virus receptor 2	GO:0005737;GO:0030027;GO:0001222;GO:0030010;GO:0060392;GO:0030512;GO:0030335	GO:0030010;GO:0060392;GO:0030512;GO:0030335	GO:0005737;GO:0030027	GO:0001222
O15040;A5PKY3;A6NFY9;A7E2X3;H0YMM9;Q9UEG6	9895	TECPR2	Tectonin beta-propeller repeat-containing protein 2	WD repeat-containing protein KIAA0329/KIAA0297	GO:0005737;GO:0006914;GO:0032527	GO:0006914;GO:0032527	GO:0005737	
Q6P7Q4	294320	Glo1	Lactoylglutathione lyase	S-D-lactoylglutathione methylglyoxal lyase	GO:0005829;GO:0005654;GO:0005886;GO:0004462;GO:0008270;GO:0005975;GO:0006749;GO:0009438;GO:0043066;GO:0030316;GO:0006357	GO:0005975;GO:0006749;GO:0009438;GO:0043066;GO:0030316;GO:0006357	GO:0005829;GO:0005654;GO:0005886	GO:0004462;GO:0008270
P50748;A7E2C4;B3KSG2	9735	KNTC1	Kinetochore-associated protein 1	Rough deal homolog	GO:0015629;GO:0005737;GO:0005829;GO:0005828;GO:0005634;GO:0005886;GO:1990423;GO:0000922;GO:0031267;GO:0051301;GO:0000070;GO:0007094;GO:1903394;GO:0065003;GO:0007096	GO:0051301;GO:0000070;GO:0007094;GO:1903394;GO:0065003;GO:0007096	GO:0015629;GO:0005737;GO:0005829;GO:0005828;GO:0005634;GO:0005886;GO:1990423;GO:0000922	GO:0031267
A4SG26		pnp	Polyribonucleotide nucleotidyltransferase	Polynucleotide phosphorylase	GO:0005737;GO:0000287;GO:0004654;GO:0003723;GO:0006402;GO:0006396	GO:0006402;GO:0006396	GO:0005737	GO:0000287;GO:0004654;GO:0003723
Q5RCW2	100172084	PNPT1	Polyribonucleotide nucleotidyltransferase 1 mitochondrial	Polynucleotide phosphorylase 1	GO:0016020;GO:0045025;GO:0005758;GO:0005759;GO:0005739;GO:0000175;GO:0035198;GO:0034046;GO:0008266;GO:0004654;GO:0034599;GO:0000958;GO:0097222;GO:0000965;GO:0000964;GO:0000957;GO:0070584;GO:0006402;GO:0045926;GO:0071042;GO:2000627;GO:0000962;GO:0061014;GO:0051260;GO:0070207;GO:0051726;GO:0043457;GO:2000772;GO:0006401;GO:0035927;GO:0043631;GO:0035928	GO:0034599;GO:0000958;GO:0097222;GO:0000965;GO:0000964;GO:0000957;GO:0070584;GO:0006402;GO:0045926;GO:0071042;GO:2000627;GO:0000962;GO:0061014;GO:0051260;GO:0070207;GO:0051726;GO:0043457;GO:2000772;GO:0006401;GO:0035927;GO:0043631;GO:0035928	GO:0016020;GO:0045025;GO:0005758;GO:0005759;GO:0005739	GO:0000175;GO:0035198;GO:0034046;GO:0008266;GO:0004654
Q8CFC7;Q5RKW4;Q8CFC8;Q9Z2N3	53609	Clasrp	CLK4-associating serine/arginine rich protein	Suppressor of white-apricot homolog 2	GO:0005654;GO:0006397;GO:0008380	GO:0006397;GO:0008380	GO:0005654	
Q9H165;D6W5D7;Q66LN6;Q86W14;Q8WU92;Q96JL6;Q9H163;Q9H164;Q9H3G9Q9NWA7	53335	BCL11A	B-cell lymphoma/leukemia 11A	Zinc finger protein 856	GO:0005737;GO:0005829;GO:0016363;GO:0005654;GO:0005634;GO:0042382;GO:0014069;GO:0016514;GO:0003700;GO:0140297;GO:0001227;GO:0046872;GO:0046982;GO:0042803;GO:0019901;GO:0000978;GO:0003712;GO:0001067;GO:1905232;GO:0030517;GO:2000173;GO:0048671;GO:2000171;GO:1903860;GO:0010977;GO:1904800;GO:0032463;GO:0000122;GO:0048672;GO:0010628;GO:0010976;GO:0045944;GO:0016925;GO:0050773;GO:0006357	GO:1905232;GO:0030517;GO:2000173;GO:0048671;GO:2000171;GO:1903860;GO:0010977;GO:1904800;GO:0032463;GO:0000122;GO:0048672;GO:0010628;GO:0010976;GO:0045944;GO:0016925;GO:0050773;GO:0006357	GO:0005737;GO:0005829;GO:0016363;GO:0005654;GO:0005634;GO:0042382;GO:0014069;GO:0016514	GO:0003700;GO:0140297;GO:0001227;GO:0046872;GO:0046982;GO:0042803;GO:0019901;GO:0000978;GO:0003712;GO:0001067
Q8AVH4	379129	pno1	RNA-binding protein PNO1	Zinc finger protein 856	GO:0005730;GO:0003723		GO:0005730	GO:0003723
Q8NA03;Q6X2C8;Q86Y89	161835	FSIP1	Fibrous sheath-interacting protein 1	Zinc finger protein 856				
Q3SYK4	432677	Vrtn	Vertnin	Zinc finger protein 856	GO:0000785;GO:0006357	GO:0006357	GO:0000785	
P16537		SPEC3	Protein SPEC3	Zinc finger protein 856	GO:0005929;GO:0000139;GO:0016021		GO:0005929;GO:0000139;GO:0016021	
P13135;A1YVU9;Q1JQC3	281664	CAPNS1	Calpain small subunit 1	Calpain regulatory subunit	GO:0005737;GO:0005886;GO:0005509;GO:0004198		GO:0005737;GO:0005886	GO:0005509;GO:0004198
Q11002;Q9V8U6;Q9V8U7	37232	CalpA	Calpain-A catalytic subunit	Calcium-activated neutral proteinase A	GO:0015629;GO:0005737;GO:0043025;GO:0005509;GO:0004198;GO:0042335;GO:0050832;GO:0008340;GO:0009953;GO:0008345;GO:0007520;GO:0016322;GO:0016540;GO:0006508	GO:0042335;GO:0050832;GO:0008340;GO:0009953;GO:0008345;GO:0007520;GO:0016322;GO:0016540;GO:0006508	GO:0015629;GO:0005737;GO:0043025	GO:0005509;GO:0004198
P54923	11544	Adprh	ADP-ribosylhydrolase ARH1	[Protein ADP-ribosylarginine] hydrolase	GO:0005829;GO:0005615;GO:0003875;GO:0000287;GO:0030955;GO:0006464;GO:0051725	GO:0006464;GO:0051725	GO:0005829;GO:0005615	GO:0003875;GO:0000287;GO:0030955
Q9D805;E9QNM7;O35919	73647	Capn9	Calpain-9	New calpain 4	GO:0005737;GO:0005509;GO:0004198;GO:0007586;GO:0006508	GO:0007586;GO:0006508	GO:0005737	GO:0005509;GO:0004198
P18172;Q294Q6;Q56RL3		Gld	Glucose dehydrogenase [FAD quinone] short protein	New calpain 4	GO:0005576;GO:0050660;GO:0016614		GO:0005576	GO:0050660;GO:0016614
Q95LC6	105484282	CD209	CD209 antigen	CD209	GO:0016021;GO:0005537;GO:0046872;GO:0002250;GO:0007155;GO:0006897;GO:0045087	GO:0002250;GO:0007155;GO:0006897;GO:0045087	GO:0016021	GO:0005537;GO:0046872
Q29HY3	4814629	Cdc42	Cdc42 homolog	CD209	GO:0005912;GO:0045177;GO:0005938;GO:0030426;GO:0030027;GO:0005634;GO:0005886;GO:0016028;GO:0045202;GO:0003925;GO:0005525;GO:0032794;GO:0019901;GO:0031532;GO:0030041;GO:0048675;GO:0035147;GO:0030031;GO:0030866;GO:0048813;GO:0046843;GO:0007391;GO:0045200;GO:0051601;GO:0035099;GO:0035318;GO:0030011;GO:0045185;GO:0035011;GO:0008045;GO:0097206;GO:0007274;GO:0016318;GO:0006909;GO:0051491;GO:0046330;GO:0010592;GO:0045860;GO:0090303;GO:0072659;GO:0030833;GO:0050770;GO:0008360;GO:0046928;GO:0008582;GO:0007266;GO:0050975;GO:0007286;GO:0048010;GO:0042060	GO:0031532;GO:0030041;GO:0048675;GO:0035147;GO:0030031;GO:0030866;GO:0048813;GO:0046843;GO:0007391;GO:0045200;GO:0051601;GO:0035099;GO:0035318;GO:0030011;GO:0045185;GO:0035011;GO:0008045;GO:0097206;GO:0007274;GO:0016318;GO:0006909;GO:0051491;GO:0046330;GO:0010592;GO:0045860;GO:0090303;GO:0072659;GO:0030833;GO:0050770;GO:0008360;GO:0046928;GO:0008582;GO:0007266;GO:0050975;GO:0007286;GO:0048010;GO:0042060	GO:0005912;GO:0045177;GO:0005938;GO:0030426;GO:0030027;GO:0005634;GO:0005886;GO:0016028;GO:0045202	GO:0003925;GO:0005525;GO:0032794;GO:0019901
Q9UBV2;Q6UWT6;Q9P1T9;Q9UHK7	6400	SEL1L	Protein sel-1 homolog 1	Suppressor of lin-12-like protein 1	GO:0036513;GO:0005783;GO:0005789;GO:0000836;GO:0000839;GO:0016021;GO:0036503;GO:0007219;GO:0009306;GO:0050821;GO:0016567;GO:0030970;GO:0006641;GO:0030433	GO:0036503;GO:0007219;GO:0009306;GO:0050821;GO:0016567;GO:0030970;GO:0006641;GO:0030433	GO:0036513;GO:0005783;GO:0005789;GO:0000836;GO:0000839;GO:0016021	
P58307;Q0VDP5;Q3USS9;Q6VNS3;Q80T45	230777	Hcrtr1	Orexin/Hypocretin receptor type 1	Orexin receptor type 1	GO:0005887;GO:0004930;GO:0016499;GO:0017046;GO:0007631;GO:0007186;GO:0007218;GO:0070374;GO:0051480	GO:0007631;GO:0007186;GO:0007218;GO:0070374;GO:0051480	GO:0005887	GO:0004930;GO:0016499;GO:0017046
Q8VE97;Q9JJC3		Srsf4	Serine/arginine-rich splicing factor 4	Splicing factor arginine/serine-rich 4	GO:0016607;GO:0005634;GO:0003729;GO:0003723;GO:1990825;GO:0002244;GO:0000398;GO:0048025	GO:0002244;GO:0000398;GO:0048025	GO:0016607;GO:0005634	GO:0003729;GO:0003723;GO:1990825
Q9ULG1;A6H8X4;Q9NTG6	54617	INO80	Chromatin-remodeling ATPase INO80	INO80 complex subunit A	GO:0005829;GO:0031011;GO:0005874;GO:0016604;GO:0005654;GO:0005634;GO:0005819;GO:0003779;GO:0043014;GO:0005524;GO:0016887;GO:0008094;GO:0003677;GO:0042393;GO:0051301;GO:0071479;GO:0034644;GO:0006338;GO:0006281;GO:0006302;GO:0000724;GO:0000070;GO:0042766;GO:0030307;GO:0045739;GO:0010571;GO:1904507;GO:0045944;GO:0045893;GO:0051726;GO:0033044;GO:0006275;GO:0060382;GO:0045995;GO:2000045;GO:0043618;GO:0051225;GO:0000723;GO:0006351;GO:0070914	GO:0051301;GO:0071479;GO:0034644;GO:0006338;GO:0006281;GO:0006302;GO:0000724;GO:0000070;GO:0042766;GO:0030307;GO:0045739;GO:0010571;GO:1904507;GO:0045944;GO:0045893;GO:0051726;GO:0033044;GO:0006275;GO:0060382;GO:0045995;GO:2000045;GO:0043618;GO:0051225;GO:0000723;GO:0006351;GO:0070914	GO:0005829;GO:0031011;GO:0005874;GO:0016604;GO:0005654;GO:0005634;GO:0005819	GO:0003779;GO:0043014;GO:0005524;GO:0016887;GO:0008094;GO:0003677;GO:0042393
Q6ZPV2;A2AQP8;Q6P7V0;Q6PCP1;Q8C9T7	68142	Ino80	Chromatin-remodeling ATPase INO80	DNA helicase-related protein INO80	GO:0005829;GO:0031011;GO:0005874;GO:0016604;GO:0005654;GO:0005634;GO:0005819;GO:0003779;GO:0043014;GO:0005524;GO:0016887;GO:0008094;GO:0003677;GO:0042393;GO:0051301;GO:0071479;GO:0034644;GO:0006281;GO:0006302;GO:0000724;GO:0000070;GO:0042766;GO:0030307;GO:0045739;GO:0010571;GO:1904507;GO:0045944;GO:0006282;GO:0060382;GO:0045995;GO:2000045;GO:0043618;GO:0051225;GO:0000723;GO:0006351;GO:0070914	GO:0051301;GO:0071479;GO:0034644;GO:0006281;GO:0006302;GO:0000724;GO:0000070;GO:0042766;GO:0030307;GO:0045739;GO:0010571;GO:1904507;GO:0045944;GO:0006282;GO:0060382;GO:0045995;GO:2000045;GO:0043618;GO:0051225;GO:0000723;GO:0006351;GO:0070914	GO:0005829;GO:0031011;GO:0005874;GO:0016604;GO:0005654;GO:0005634;GO:0005819	GO:0003779;GO:0043014;GO:0005524;GO:0016887;GO:0008094;GO:0003677;GO:0042393
P10041;Q6T3F7;Q6T3G1;Q6T3G7;Q6T3G8;Q6T3H0;Q6T3H3;Q6T3I3;Q6T3I5Q6T3I7;Q6T3J1;Q6T3J2;Q6T3J3;Q6T3J4;Q6T3K0;Q6T3K1;Q6T3K9;Q6T3L5Q6T3L7;Q6T3L9;Q6T3M2;Q6T3M4;Q6T3M7;Q6T3N1;Q6T3N3;Q6T3N5;Q6T3N7Q6T4M9;Q6T4N0;Q6T4N1;Q6T4N2;Q6T4N3;Q6T4N4;Q6T4N6;Q95RM9;Q99108Q9VDY2	42313	Dl	Neurogenic locus protein delta	DNA helicase-related protein INO80	GO:0045179;GO:0009986;GO:0031410;GO:0005769;GO:0030139;GO:0005768;GO:0016021;GO:0005886;GO:0005509;GO:0043208;GO:0005112;GO:0048018;GO:0007015;GO:0048800;GO:0007475;GO:0008356;GO:0007298;GO:0001708;GO:0008407;GO:0042051;GO:0046667;GO:0030718;GO:0008347;GO:0007480;GO:0036011;GO:0008587;GO:0007476;GO:0046331;GO:0007498;GO:0050768;GO:0007400;GO:0048665;GO:0007219;GO:0030720;GO:0048477;GO:0030707;GO:0030713;GO:0007422;GO:0008284;GO:0045931;GO:0048056;GO:0045466;GO:0090175;GO:0016330;GO:0007423;GO:0048863;GO:0048100;GO:0048190	GO:0007015;GO:0048800;GO:0007475;GO:0008356;GO:0007298;GO:0001708;GO:0008407;GO:0042051;GO:0046667;GO:0030718;GO:0008347;GO:0007480;GO:0036011;GO:0008587;GO:0007476;GO:0046331;GO:0007498;GO:0050768;GO:0007400;GO:0048665;GO:0007219;GO:0030720;GO:0048477;GO:0030707;GO:0030713;GO:0007422;GO:0008284;GO:0045931;GO:0048056;GO:0045466;GO:0090175;GO:0016330;GO:0007423;GO:0048863;GO:0048100;GO:0048190	GO:0045179;GO:0009986;GO:0031410;GO:0005769;GO:0030139;GO:0005768;GO:0016021;GO:0005886	GO:0005509;GO:0043208;GO:0005112;GO:0048018
Q9W4V8;O76907;Q8SZT0	31266	ttm50	Mitochondrial import inner membrane translocase subunit TIM50-C	Tiny tim 50	GO:0016021;GO:0005743;GO:0005739;GO:0005744;GO:0004722;GO:0004725;GO:0007006;GO:0007005;GO:0006470;GO:0030150	GO:0007006;GO:0007005;GO:0006470;GO:0030150	GO:0016021;GO:0005743;GO:0005739;GO:0005744	GO:0004722;GO:0004725
Q4LDG9;B2RD38;Q5JPB7;Q9BS43	83544	DNAL1	Dynein axonemal light chain 1	Tiny tim 50	GO:0005737;GO:0005874;GO:0036157;GO:0043014;GO:0045504;GO:0036158	GO:0036158	GO:0005737;GO:0005874;GO:0036157	GO:0043014;GO:0045504
Q8T888	445644	DNAL1	Dynein axonemal light chain 1	Leucine-rich repeat dynein light chain	GO:0042995;GO:0005737;GO:0030286;GO:0005874;GO:0043014;GO:0045504;GO:0036158	GO:0036158	GO:0042995;GO:0005737;GO:0030286;GO:0005874	GO:0043014;GO:0045504
